LSOA21CD,Formatted_Ward
E01033463,Brent - Kenton
E01000707,Bromley - Clock House
E01000589,Brent - Queensbury
E01000779,Bromley - Mottingham
E01000631,Brent - Wembley Central
E01000658,Bromley - Biggin Hill
E01000372,Bexley - Northumberland Heath
E01000785,Bromley - Mottingham
E01000587,Brent - Queensbury
E01000578,Brent - Wembley Hill
E01000662,Bromley - Bromley Common & Holwood
E01000568,Brent - Kenton
E01000700,Bromley - Clock House
E01000476,Brent - Alperton
E01000439,Bexley - Northumberland Heath
E01000591,Brent - Queensbury
E01000485,Brent - Kenton
E01000702,Bromley - Clock House
E01000471,Brent - Alperton
E01000661,Bromley - Bromley Common & Holwood
E01000570,Brent - Wembley Hill
E01000791,Bromley - Orpington
E01000438,Bexley - Northumberland Heath
E01000590,Brent - Queensbury
E01000540,Brent - Kenton
E01000706,Bromley - Clock House
E01000480,Brent - Barnhill
E01000679,Bromley - Bromley Common & Holwood
E01033457,Brent - Wembley Hill
E01000788,Bromley - Orpington
E01000444,Bexley - St Mary's & St James
E01000592,Brent - Queensbury
E01000487,Brent - Kenton
E01034384,Bromley - Crystal Palace & Anerley
E01033931,Brent - Barnhill
E01000669,Bromley - Bromley Common & Holwood
E01000571,Brent - Wembley Hill
E01000790,Bromley - Orpington
E01000449,Bexley - St Mary's & St James
E01000594,Brent - Queensbury
E01000545,Brent - Kilburn
E01000743,Bromley - Crystal Palace & Anerley
E01000486,Brent - Barnhill
E01000667,Bromley - Bromley Common & Holwood
E01033936,Brent - Wembley Hill
E01000792,Bromley - Orpington
E01000447,Bexley - St Mary's & St James
E01000593,Brent - Queensbury
E01000548,Brent - Kilburn
E01000742,Bromley - Crystal Palace & Anerley
E01000481,Brent - Barnhill
E01000663,Bromley - Bromley Common & Holwood
E01000517,Brent - Queensbury
E01000636,Brent - Wembley Hill
E01000786,Bromley - Orpington
E01000448,Bexley - St Mary's & St James
E01000793,Bromley - Orpington
E01000616,Brent - Wembley Hill
E01000515,Brent - Queensbury
E01000546,Brent - Kilburn
E01000741,Bromley - Crystal Palace & Anerley
E01000483,Brent - Barnhill
E01000668,Bromley - Bromley Common & Holwood
E01000794,Bromley - Orpington
E01000383,Bexley - St Mary's & St James
E01034383,Bromley - Crystal Palace & Anerley
E01033932,Brent - Barnhill
E01000549,Brent - Kilburn
E01033935,Brent - Wembley Hill
E01000664,Bromley - Bromley Common & Holwood
E01000789,Bromley - Orpington
E01000508,Brent - Roundwood
E01000385,Bexley - St Mary's & St James
E01000744,Bromley - Crystal Palace & Anerley
E01000489,Brent - Brondesbury Park
E01000544,Brent - Kilburn
E01033942,Brent - Wembley Park
E01000665,Bromley - Bromley Common & Holwood
E01000803,Bromley - Penge & Cator
E01000528,Brent - Roundwood
E01000445,Bexley - St Mary's & St James
E01000746,Bromley - Crystal Palace & Anerley
E01000491,Brent - Brondesbury Park
E01000547,Brent - Kilburn
E01033940,Brent - Wembley Park
E01000762,Bromley - Bromley Town
E01000805,Bromley - Penge & Cator
E01000527,Brent - Roundwood
E01000459,Bexley - Sidcup
E01000749,Bromley - Darwin
E01000493,Brent - Brondesbury Park
E01000552,Brent - Kilburn
E01033941,Brent - Wembley Park
E01000678,Bromley - Bromley Town
E01000804,Bromley - Penge & Cator
E01000640,Brent - Roundwood
E01000386,Bexley - Sidcup
E01000748,Bromley - Darwin
E01000490,Brent - Brondesbury Park
E01000551,Brent - Kilburn
E01000615,Brent - Wembley Park
E01000670,Bromley - Bromley Town
E01000672,Bromley - Bromley Town
E01000676,Bromley - Bromley Town
E01034386,Bromley - Bromley Town
E01000674,Bromley - Bromley Town
E01000671,Bromley - Bromley Town
E01034385,Bromley - Bromley Town
E01000687,Bromley - Chelsfield
E01000685,Bromley - Chelsfield
E01000686,Bromley - Chelsfield
E01000684,Bromley - Chelsfield
E01000683,Bromley - Chelsfield
E01000680,Bromley - Chelsfield
E01000688,Bromley - Chelsfield
E01000795,Bromley - Chelsfield
E01000693,Bromley - Chislehurst
E01000690,Bromley - Chislehurst
E01000696,Bromley - Chislehurst
E01000691,Bromley - Chislehurst
E01000697,Bromley - Chislehurst
E01000689,Bromley - Chislehurst
E01000692,Bromley - Chislehurst
E01000698,Bromley - Chislehurst
E01000695,Bromley - Chislehurst
E01000694,Bromley - Chislehurst
E01000701,Bromley - Clock House
E01000703,Bromley - Clock House
E01000699,Bromley - Clock House
E01000705,Bromley - Clock House
E01000704,Bromley - Clock House
E01000709,Bromley - Clock House
E01000708,Bromley - Clock House
E01000747,Bromley - Darwin
E01000462,Bexley - Sidcup
E01000512,Brent - Willesden Green
E01000550,Brent - Kilburn
E01000492,Brent - Brondesbury Park
E01000757,Bromley - Farnborough & Crofton
E01000506,Brent - Roundwood
E01000806,Bromley - Penge & Cator
E01000382,Bexley - Sidcup
E01000638,Brent - Willesden Green
E01033929,Brent - Kingsbury
E01000494,Brent - Brondesbury Park
E01000758,Bromley - Farnborough & Crofton
E01000643,Brent - Roundwood
E01000799,Bromley - Penge & Cator
E01000381,Bexley - Sidcup
E01000504,Brent - Willesden Green
E01000514,Brent - Kingsbury
E01000488,Brent - Brondesbury Park
E01000495,Brent - Brondesbury Park
E01000561,Brent - Cricklewood & Mapesbury
E01000560,Brent - Cricklewood & Mapesbury
E01000557,Brent - Cricklewood & Mapesbury
E01000554,Brent - Cricklewood & Mapesbury
E01000556,Brent - Cricklewood & Mapesbury
E01000555,Brent - Cricklewood & Mapesbury
E01000553,Brent - Cricklewood & Mapesbury
E01000558,Brent - Cricklewood & Mapesbury
E01000511,Brent - Dollis Hill
E01000501,Brent - Dollis Hill
E01033933,Brent - Dollis Hill
E01000498,Brent - Dollis Hill
E01000510,Brent - Dollis Hill
E01000499,Brent - Dollis Hill
E01000509,Brent - Dollis Hill
E01000497,Brent - Dollis Hill
E01033934,Brent - Dollis Hill
E01000628,Brent - Dollis Hill
E01000503,Brent - Dollis Hill
E01000502,Brent - Dollis Hill
E01000530,Brent - Harlesden & Kensal Green
E01000523,Brent - Harlesden & Kensal Green
E01000524,Brent - Harlesden & Kensal Green
E01000533,Brent - Harlesden & Kensal Green
E01000535,Brent - Harlesden & Kensal Green
E01000534,Brent - Harlesden & Kensal Green
E01033455,Brent - Harlesden & Kensal Green
E01000522,Brent - Harlesden & Kensal Green
E01033485,Brent - Harlesden & Kensal Green
E01000798,Bromley - Penge & Cator
E01000520,Brent - Kingsbury
E01000387,Bexley - Sidcup
E01000801,Bromley - Penge & Cator
E01000521,Brent - Roundwood
E01000516,Brent - Kingsbury
E01000756,Bromley - Farnborough & Crofton
E01000384,Bexley - Sidcup
E01000797,Bromley - Penge & Cator
E01000526,Brent - Roundwood
E01033930,Brent - Kingsbury
E01000750,Bromley - Farnborough & Crofton
E01000458,Bexley - Sidcup
E01000637,Brent - Willesden Green
E01000802,Bromley - Penge & Cator
E01033938,Brent - Stonebridge
E01000513,Brent - Kingsbury
E01000682,Bromley - Farnborough & Crofton
E01000755,Bromley - Farnborough & Crofton
E01000681,Bromley - Farnborough & Crofton
E01000752,Bromley - Farnborough & Crofton
E01000754,Bromley - Farnborough & Crofton
E01000751,Bromley - Farnborough & Crofton
E01000753,Bromley - Farnborough & Crofton
E01000759,Bromley - Hayes & Coney Hall
E01000764,Bromley - Hayes & Coney Hall
E01000766,Bromley - Hayes & Coney Hall
E01000768,Bromley - Hayes & Coney Hall
E01000761,Bromley - Hayes & Coney Hall
E01000760,Bromley - Hayes & Coney Hall
E01000763,Bromley - Hayes & Coney Hall
E01000767,Bromley - Hayes & Coney Hall
E01000765,Bromley - Hayes & Coney Hall
E01000666,Bromley - Hayes & Coney Hall
E01000769,Bromley - Kelsey & Eden Park
E01000772,Bromley - Kelsey & Eden Park
E01000777,Bromley - Kelsey & Eden Park
E01032568,Bromley - Kelsey & Eden Park
E01000771,Bromley - Kelsey & Eden Park
E01000773,Bromley - Kelsey & Eden Park
E01000774,Bromley - Kelsey & Eden Park
E01000778,Bromley - Kelsey & Eden Park
E01000775,Bromley - Kelsey & Eden Park
E01000770,Bromley - Kelsey & Eden Park
E01000783,Bromley - Mottingham
E01000780,Bromley - Mottingham
E01000782,Bromley - Mottingham
E01000784,Bromley - Mottingham
E01000781,Bromley - Mottingham
E01000559,Brent - Willesden Green
E01000563,Brent - Northwick Park
E01000457,Bexley - Sidcup
E01000505,Brent - Willesden Green
E01000569,Brent - Northwick Park
E01000435,Bexley - Slade Green & Northend
E01000644,Brent - Willesden Green
